Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,339.0,332.5,332.5,339.0,31754120.0,329.64019775390625
2020-01-03,345.0,335.5,344.0,339.5,41811268.0,330.12640380859375
2020-01-06,334.5,332.0,333.0,332.0,45343057.0,322.83349609375
2020-01-07,333.0,326.5,332.5,329.5,50879181.0,320.4024963378906
2020-01-08,333.0,325.0,325.0,329.5,37567748.0,320.4024963378906
2020-01-09,337.5,333.5,335.0,337.5,31481504.0,328.1816101074219
2020-01-10,341.0,336.0,340.5,339.5,27032115.0,330.12640380859375
2020-01-13,342.0,339.0,342.0,341.5,30663332.0,332.0711364746094
2020-01-14,346.0,344.5,345.5,346.0,30223993.0,336.4469299316406
2020-01-15,345.0,337.5,345.0,340.0,47434274.0,330.61260986328125
2020-01-16,336.5,330.0,330.0,334.5,55211420.0,325.26446533203125
2020-01-17,335.5,332.0,334.0,333.0,52060097.0,323.8058776855469
2020-01-20,335.5,333.0,334.0,333.0,32658203.0,323.8058776855469
2020-01-30,326.0,316.5,326.0,316.5,125451049.0,307.76141357421875
2020-01-31,323.5,319.0,323.0,320.0,62526055.0,311.164794921875
2020-02-03,316.5,312.0,315.0,315.0,59560849.0,306.3028564453125
2020-02-04,337.0,325.0,336.5,325.0,51890496.0,316.0267333984375
2020-02-05,329.5,324.5,329.0,327.5,36601453.0,318.4577331542969
2020-02-06,332.5,329.0,329.5,332.5,29267094.0,323.3196716308594
2020-02-07,330.5,326.0,330.0,328.0,28798327.0,318.94390869140625
2020-02-10,328.0,321.0,321.5,327.5,30632424.0,318.4577331542969
2020-02-11,332.5,330.0,330.5,331.5,27524935.0,322.3472595214844
2020-02-12,336.0,333.0,333.5,335.0,37612639.0,325.7506103515625
2020-02-13,338.0,335.0,338.0,335.0,22757021.0,325.7506103515625
2020-02-14,337.0,334.5,337.0,335.0,16933683.0,325.7506103515625
2020-02-17,333.0,330.5,331.5,331.5,15937079.0,322.3472595214844
2020-02-18,326.5,322.0,324.5,322.0,61825604.0,313.10955810546875
2020-02-19,327.0,322.0,322.5,326.5,38781218.0,317.4853210449219
2020-02-20,329.0,325.0,328.0,325.5,27011736.0,316.5129699707031
