Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,12110.740234375,12026.23046875,12026.5,12100.48046875,2023800,12100.48046875
2020-01-03,12197.6396484375,12023.599609375,12167.4404296875,12110.4296875,2572900,12110.4296875
2020-01-06,12040.080078125,11953.3603515625,12035.7099609375,11953.3603515625,2345200,11953.3603515625
2020-01-07,11986.0302734375,11822.400390625,11961.9697265625,11880.3203125,2338400,11880.3203125
2020-01-08,11899.669921875,11777.4501953125,11818.759765625,11817.099609375,2428800,11817.099609375
2020-01-09,11992.5498046875,11889.4599609375,11889.4599609375,11970.6298828125,2036900,11970.6298828125
2020-01-10,12038.2099609375,11959.0595703125,12009.26953125,12024.650390625,1869000,12024.650390625
2020-01-13,12113.419921875,12037.240234375,12069.6103515625,12113.419921875,2292300,12113.419921875
2020-01-14,12186.6201171875,12140.26953125,12161.73046875,12179.8095703125,2255300,12179.8095703125
2020-01-15,12169.919921875,12048.009765625,12169.919921875,12091.8798828125,1943800,12091.8798828125
2020-01-16,12075.5400390625,12006.080078125,12006.080078125,12066.9296875,2049000,12066.9296875
2020-01-17,12117.5498046875,12055.91015625,12080.7197265625,12090.2900390625,2009700,12090.2900390625
2020-01-20,12151.419921875,12101.5498046875,12107.5595703125,12118.7099609375,2095100,12118.7099609375
2020-01-30,11933.23046875,11418.2197265625,11933.23046875,11421.740234375,4917300,11421.740234375
2020-01-31,11594.2099609375,11436.9501953125,11494.0302734375,11495.099609375,3130700,11495.099609375
2020-02-03,11365.900390625,11138.0302734375,11365.900390625,11354.919921875,3472200,11354.919921875
2020-02-04,11581.3603515625,11393.0302734375,11399.4599609375,11555.919921875,2731100,11555.919921875
2020-02-05,11620.419921875,11512.7099609375,11601.5498046875,11573.6201171875,2624400,11573.6201171875
2020-02-06,11749.6796875,11605.1103515625,11605.1103515625,11749.6796875,2305400,11749.6796875
2020-02-07,11712.7099609375,11592.08984375,11712.7099609375,11612.8095703125,2182700,11612.8095703125
2020-02-10,11598.0302734375,11423.33984375,11514.7197265625,11574.0703125,2328300,11574.0703125
2020-02-11,11678.580078125,11614.25,11614.25,11664.0400390625,1845400,11664.0400390625
2020-02-12,11801.51953125,11693.400390625,11693.400390625,11774.1904296875,2120500,11774.1904296875
2020-02-13,11854.98046875,11784.9404296875,11813.5,11791.7802734375,2132400,11791.7802734375
2020-02-14,11840.7900390625,11788.8701171875,11806.51953125,11815.7001953125,1697100,11815.7001953125
2020-02-17,11775.5595703125,11724.8203125,11770.2998046875,11763.509765625,1837200,11763.509765625
2020-02-18,11717.099609375,11642.9501953125,11700.91015625,11648.98046875,1882600,11648.98046875
2020-02-19,11783.4296875,11654.16015625,11655.3701171875,11758.83984375,2169000,11758.83984375
2020-02-20,11827.830078125,11714.150390625,11785.7802734375,11725.08984375,2035400,11725.08984375
2020-02-21,11755.169921875,11661.6298828125,11721.16015625,11686.349609375,1952700,11686.349609375
2020-02-24,11615.2802734375,11512.080078125,11615.2802734375,11534.8701171875,2347100,11534.8701171875
2020-02-25,11567.08984375,11415.4697265625,11506.740234375,11540.23046875,2158400,11540.23046875
2020-02-26,11494.2197265625,11408.0595703125,11468.599609375,11433.6201171875,2640000,11433.6201171875
2020-02-27,11470.23046875,11274.51953125,11436.9599609375,11292.169921875,3360600,11292.169921875
2020-03-02,11282.0498046875,11049.849609375,11184.66015625,11170.4599609375,3204100,11170.4599609375
2020-03-03,11390.240234375,11279.8603515625,11279.8603515625,11327.7197265625,2572300,11327.7197265625
2020-03-04,11392.349609375,11297.8095703125,11368.25,11392.349609375,2245300,11392.349609375
2020-03-05,11525.3203125,11454.650390625,11454.650390625,11514.8203125,2291000,11514.8203125
2020-03-06,11471.3603515625,11310.3203125,11471.3603515625,11321.8095703125,2518500,11321.8095703125
2020-03-09,11221.759765625,10977.6396484375,11221.759765625,10977.6396484375,3897400,10977.6396484375
2020-03-10,11032.4697265625,10830.2197265625,10907.6201171875,11003.5400390625,3544100,11003.5400390625
2020-03-11,11088.23046875,10885.91015625,11022.8203125,10893.75,2804700,10893.75
2020-03-12,10845.3896484375,10359.669921875,10845.3896484375,10422.3203125,4844200,10422.3203125
2020-03-13,10171.2001953125,9636.150390625,10091.0302734375,10128.8701171875,5906200,10128.8701171875
2020-03-16,10130.7998046875,9717.76953125,10069.419921875,9717.76953125,3783600,9717.76953125
2020-03-17,9677.0703125,9371.349609375,9538.6396484375,9439.6298828125,4504100,9439.6298828125
2020-03-18,9509.6103515625,9218.669921875,9453.98046875,9218.669921875,3991000,9218.669921875
2020-03-19,9085.2802734375,8523.6298828125,9085.2802734375,8681.33984375,5702600,8681.33984375
2020-03-20,9264.419921875,8816.8603515625,8816.8603515625,9234.08984375,4683400,9234.08984375
2020-03-23,9029.51953125,8750.1396484375,9025.5498046875,8890.0302734375,136500,8890.0302734375
2020-03-24,9415.6396484375,9083.7802734375,9083.7802734375,9285.6201171875,2920600,9285.6201171875
